Militaire eenheid,2024-09-4
114-та окрема мотострілецька бригада /// 114th separate motorized rifle brigade ,"48.2110402, 37.4612988"
109-й стрілецький полк ДНР /// 109th Rifle Regiment DPR ,"48.2277832, 37.8070758"
117-й мотострілецький полк ДНР /// 117th motorized rifle regiment DPR ,"48.0791322, 37.6922922"
"132-га окрема мотострілецька бригада (колишня 3-тя «Беркут») /// 132nd separate motorized rifle brigade (formerly the 3rd Brigade ""Berkut"")","48.2689404, 37.8780708"
87-й стрілецький полк /// 87th Rifle Regiment  ,"48.0983598, 37.7793408"
3-й мотострілецький батальйон зі складу 114-ї ОМСБр /// 3rd Motorized Rifle Battalion from the 114th Infantry Brigade ,"47.997272, 37.550343"
277-й стрілецький батальйон /// 277th Rifle Battalion ,"48.2094374, 37.7070278"
Частково 111-й окремий стрілецький полк /// Part 111th separate rifle regiment ,"48.041801, 37.699761"
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ","48.0464243, 37.7984469"
103-й мотострілковий полк зі складу 150 мсд///103rd Motorized Rifle Regiment (from the composition of 150 MRD) ,"47.955663, 37.4701958"
10-й ОТБ /// 10-й ОТБ  ,"48.0937968, 37.7243275"
"5-та окрема мотострілецька бригада «Оплот»///5th separate motorized rifle brigade ""Oplot"" ","47.9842229, 37.5277885"
110-та окрема мотострілецька бригада /// 110th Separate Motorized Rifle Brigade ,"48.0231072, 37.5780076"
39-та окрема мотострілецька бригада///39th Separate Guards Motor Rifle Brigade ,"47.8065578, 37.4265086"
"80-й окремий розвідувальний батальйон ""Спарта"" імені Пєтуха Смаженого /// The 80th separate intelligence battalion ""Sparta"" named Fried Cock ","48.1046472, 37.6308832"
10-й танковий полк ///10th tank regiment ,"47.8631054, 37.4993778"
139-та окремий мотострілецький батальйон ///139th Separate Guards Motor Rifle Battalion ,"47.8071948, 37.4980581"
115-та окрема мотострілецька бригада /// 115th separate motorized rifle brigade ,"48.1578323, 37.6861517"
1465-й мотострілецький полк територіальних військ /// 1465th motorized rifle regiment of territorial troops ,"47.8841407, 37.5475103"
1219-й мотострілецький полк територіальних військ /// 1219th motorized rifle regiment of territorial troops  ,"47.8514358, 37.5742895"
18-та кулеметно-артилерійська дивізія /// 18th Machine Gun Artillery Division ,"47.8206458, 37.4524595"
1487-й мотострілецький полк територіальних військ /// 1487th motorized rifle regiment of territorial troops ,"48.0844403, 37.7580846"
1140-й мотострілецький полк територіальних військ /// 1140th motorized rifle regiment of territorial troops  ,"48.1733632, 37.6985738"
163-й танковий полк ///163rd tank regiment  ,"47.9199102, 37.5147747"
242-й гвардійський мотострілецький полк /// 242th Guards Motorized Rifle Regiment ,"47.9191115, 37.4834245"
57-й мотострілецький полк /// 57th Motor Rifle Regiment ,"48.5528101, 37.9756801"
1472-й мотострілецький полк територіальних військ /// 1472th motorized rifle regiment of territorial troops ,"47.8378863, 37.4871506"
9-та окрема мотострілецька бригада ///9th separate motorized rifle brigade ,"47.9554117, 37.8031659"
"506-й мотострілецький полк
 /// 506th Motorized Rifle Regiment ","48.2452744, 37.443225"
"589-й мотострілецький полк
 /// 589th Motorized Rifle Regiment ","48.2233882, 37.439417"
104-й десантно-штурмовий полк зі складу 76-ї дивізії /// 104th Airborne Assault Regiment from the 76th Division ,"47.4365214, 35.7957013"
24-й мотострілецький полк /// 24th Motor Rifle Regiment ,"46.6162659, 32.6967961"
57-ма окрема мотострілецька бригада /// 57th separate motorized rifle brigade ,"47.6369549, 36.9405915"
127-ма окрема розвідувальна бригада /// 127th separate intelligence brigade ,"46.5430078, 32.6254117"
247-й гвардійський десантно-штурмовий полк /// 247th Guards Air Assault Regiment  ,"47.4724992, 35.9796709"
234-й десантно-штурмовий полк зі складу 76-ї дивізії /// 234th Airborne Assault Regiment from the 76th Division ,"47.4584389, 35.7565904"
237-й десантно-штурмовий полк зі складу 76-ї дивізії /// 237th Airborne Assault Regiment from the 76th Division  ,"47.4677071, 35.7369038"
113-й окремий гвардійський мотострілковий батальйон /// 113th Separate Guards Motorized Rifle Battalion ,"46.765054, 29.697533"
5-та окрема танкова бригада (в/ч 46108) /// 5th separate tank brigade ,"47.7558038, 36.8164135"
37-ма окрема мотострілецька бригада /// 37th Separate Guards Motor Rifle Brigade ,"47.7498267, 36.8184873"
136-та мотострілецька бригада /// 136th motorized rifle brigade ,"47.4074777, 35.8247185"
121-й полк мобілізаційного резерву ДНР /// 121st Regiment of the Mobilization Reserve of the DPR ,"47.35927, 36.6405404"
123-й стрілецький полк ДНР /// 123st Regiment (DPR) ,"47.708017, 37.224003"
125-й мотострілковий полк (ДНР) /// 125st Regiment (DPR) ,"47.475055, 35.451394"
131-й стрілецький полк (ДНР) /// 131st Regiment (DPR) ,"47.7104046, 36.9330542"
"429-й мотострілецький полк
 /// 429th Motorized Rifle Regiment ","47.5058706, 35.3784568"
"503-й мотострілецький полк
 /// 503rd Motorized Rifle Regiment ","47.4997918, 35.6898788"
1430-й мотострілецький полк /// 1430th motorized rifle regiment ,"47.2067178, 35.7191344"
143-й мотострілецький полк (в/ч 21634) зі складу 127-ї МСД /// 143rd Motorized Rifle Regiment from the 127th MRD ,"47.7047475, 36.6169323"
78-й мотострілецький полк ім. Ахмат-Хаджи Кадирова /// 78th motorized rifle regiment ,"47.379702, 35.7955616"
291-й гвардійський мотострілецький полк /// 291st Guards Motorized Rifle Regiment ,"47.2414172, 35.7427597"
"Підрозділ росгвардії «Ахмат-Центр» /// Rosguard unit ""Akhmat-Centre"" ","47.477664, 34.5266566"
"10-та окрема бригада спеціального призначення (ГРУ, в/ч 51532) /// 10th Separate Special Purpose Brigade  ","47.145246, 33.934547"
"14-та окрема бригада спеціального призначення (ГРУ, в/ч 74854) /// 14th separate special purpose brigade ","47.753304, 37.226861"
40-ва окрема бригада морської піхоти /// 40th Naval Infantry Brigade ,"47.7400993, 36.8219396"
102-га окрема бригада оперативного призначення (в/ч 6752) /// 102nd separate brigade of operational assignment ,"46.761319, 36.803685"
"Підрозділ росгвардії «Ахмат-Південь» /// Rosguard unit ""Akhmat-South"" ","47.5122827, 34.5865599"
439-та гвардійська ракетно-артилерійська бригада /// 439th Guards Rocket Artillery Brigade ,"46.3340967, 32.3252684"
34-а окрема мотострілецька бригада /// 34th Separate Motorized Rifle Brigade ,"47.7403281, 36.7956155"
205-а окрема мотострілецька бригада /// 205th Separate Motorized Rifle Brigade ,"46.7377392, 33.3913018"
227-ма артилерійська бригада /// 227th Artillery Brigade ,"46.644692, 33.464353"
385-й мотострілецький полк /// 385th  Motorized Rifle Regiment ,"46.673229, 32.9043816"
126-а окрема гвардійська бригада берегової оборони /// 126th Separate Guards Coastal Defense Brigade ,"46.489628, 32.9645659"
11-й окремий мотострілецький полк /// 11th separate motorized rifle regiment ,"47.7243385, 36.8220399"
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ","47.7043447, 36.6784228"
38-та окрема мотострілецька бригада /// 38th Separate Motorized Rifle Brigade ,"51.6092075, 35.9118389"
69-та окрема мотострілецька бригада /// 69th Separate Motorized Rifle Brigade ,"47.5624737, 36.111335"
64-та окрема мотострілецька бригада /// 64th Separate Motorized Rifle Brigade ,"51.6065097, 35.7910393"
60-та окрема мотострілецька бригада /// 60th Separate Motorized Rifle Brigade  ,"47.7485207, 36.7857892"
"394-й мотострілецький полк
 /// 394th Motorized Rifle Regiment ","47.7504421, 36.8057249"
336-та окрема бригада морської піхоти /// 336th Separate Brigade of Marines ,"47.6606408, 36.5701302"
"114-й мотострілецький полк
/// 114th Motorized Rifle Regiment ","47.74965, 36.7722349"
810-та окрема бригада Морської піхоти /// 810th Naval Infantry Brigade ,"51.5020469, 35.1395981"
"БАРС ""Херсон"" /// BARS ""Kherson"" ","46.4397118, 32.7066963"
7-ма десантно штурмова дивізія /// 7th Airborne Assault Division ,"47.3221302, 35.6115315"
417-й окремий розвідувальний батальйон /// 417th separate reconnaissance battalion ,"47.4213552, 36.0053894"
БАРС-3 /// 3rd squad BARS ,"47.2072468, 36.1675519"
125-та окрема мотострілецька бригада /// 125th separate motorized rifle brigade ,"47.7033244, 36.8783771"
116-й стрілецький полк /// 116th Rifle Regiment ,"47.738933, 37.3677097"
БАРС-1 /// 1st squad BARS  ,"47.6051782, 36.3528019"
БАРС-11 /// 11th squad BARS ,"47.2004098, 36.1893656"
БАРС-14 /// 14th squad BARS ,"47.2146504, 36.1427281"
218-й танковий полк /// 218st Tank Regiment ,"47.7487187, 36.8001582"
"Полк «Башкортостан» /// ""Bashkortostan"" regiment ","46.9214137, 36.8028315"
1822-й батальйон /// 1822nd battalion ,"46.686263, 32.9985402"
210-й мотострілецький полк /// 210th motorized rifle regiment ,"47.3998457, 35.8730818"
100-й окремий розвідувальний батальйон /// 100th separate reconnaissance battalion ,"47.4471161, 36.0035442"
108-й десантно-штурмовий полк /// 108th Airborne Assault Regiment ,"47.4524226, 35.9688521"
56-й парашутно-десантний полк /// 56th Air Assault Regiment ,"51.3449048, 34.7255677"
22-га окрема бригада спеціального призначення /// 22nd separate special purpose brigade ,"47.5043222, 36.0138139"
45-та окрема бригада спеціального призначення /// 45th Guards Spetsnaz Brigade ,"47.4754176, 35.4386095"
"Підрозділ росгвардії «Ахмат-Схід» /// Rosguard unit ""Akhmat-East"" ","47.4214707, 35.6905887"
201-й мотострілецький полк /// 201st motorized rifle regiment ,"47.4024283, 35.9147812"
1445-й мотострілецький полк /// 1445th motorized rifle regiment ,"46.7325247, 33.1480704"
1152-й мотострілецький полк /// 1152nd motorized rifle regiment ,"47.4242858, 35.7970212"
"шойгісти ""шторм-z"" /// shoigists ""storm-z""  ","47.7348026, 37.2737004"
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ","46.7220121, 33.2306913"
144-а окрема мотострілецька бригада /// 144th Separate Motorized Rifle Brigade ,"46.6416367, 32.843763"
26-й мотострілецький полк ///26-th motorized rifle regiment ,"46.7027735, 33.0666745"
328-й десантно-штурмовий полк /// 328th Airborne Assault Regiment,"46.6730463, 33.0386734"
337-й десантно-штурмовий полк /// 337th Airborne Assault Regiment  ,"46.6743875, 33.08728"
БАРС-4 /// 4th squad BARS ,"46.6985142, 33.1571073"
"БАРС-3 ""восілій моргєлов"" /// 33rd squad BARS ""vosiliy morgeloff"" ","46.5687092, 32.9190527"
345-й десантно-штурмовий полк /// 345th Airborne Assault Regiment ,"46.7388245, 33.2057353"
70-й мотострілецький полк (в/ч 71718) /// 70th motorized rifle regiment ,"47.4074157, 35.8418784"
17-й танковий полк ///17th tank regiment ,"46.7070216, 33.1325046"
28-й мотострілецький полк ///28-th motorized rifle regiment ,"46.7086373, 33.1036954"
"Окрема десантно-штурмова бригада ""Вітірани"" /// Air Assault Brigade ""Vitirany"" ","48.1137082, 37.766238"
1461-й мотострілецький полк територіальних військ /// 1461st motorized rifle regiment of territorial troops ,"47.7195744, 36.7630308"
14-та окрема бригада спеціального призначення ///14th Spetsnaz Brigade ,"47.6676733, 36.750258"
"428-й мотострілецький полк
 /// 428th Motorized Rifle Regiment ","48.1303768, 37.6055395"
95-й окремий-саперний полк ///95th Separate Sapper Regiment ,"47.7541564, 37.2995156"
58-та батальйон спеціального призначення /// 58th Separate Special Purpose Battalion ,"48.5939597, 37.9358456"
