Militaire eenheid,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,Gemiddelde beweging (km)
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","46.7220121, 33.2306913","46.7220121, 33.2306913",374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469",374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","46.7220121, 33.2306913","46.7220121, 33.2306913",,,,,374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469",,,,,374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.0464243, 37.7984469","48.0464243, 37.7984469",,,,,374.9452093317158
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469",374.9452093317157
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913",374.9452093317157
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",374.17686633467105
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228",374.17686633467105
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","46.7220121, 33.2306913","47.7348026, 37.2737004",,,,,372.9586703265104
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","46.7220121, 33.2306913","48.705179, 37.9922329",,,,,372.9586703265104
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","46.7220121, 33.2306913","47.7348026, 37.2737004",,,,,370.56402092267103
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","46.7220121, 33.2306913","48.6790228, 37.939907",,,,,370.56402092267103
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.977954, 38.2121567","46.7220121, 33.2306913","47.7043447, 36.6784228",,,,,366.1279095205951
Окремий штурмовий батальйон «П'ятнашка» /// Piatnashka Battalion ,,,,"48.052507, 37.637531","48.052507, 37.637531","48.052507, 37.637531","51.1422544, 36.3175508",356.63231139380395
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329",351.39687710277565
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","47.7043447, 36.6784228",351.39687710277565
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913","47.7043447, 36.6784228",351.39687710277565
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228",351.39687710277565
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329",,,,,351.39687710277565
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228",,,,,351.39687710277565
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329",351.39687710277565
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329",351.39687710277565
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","46.7220121, 33.2306913","47.7348026, 37.2737004",,,,,350.56285259313734
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","46.7220121, 33.2306913","48.0464243, 37.7984469",,,,,350.56285259313734
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","46.7220121, 33.2306913","48.6790228, 37.939907",,,,,349.0022276989363
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.6790228, 37.939907","46.7220121, 33.2306913","47.7043447, 36.6784228",,,,,349.0022276989363
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913",344.315776023507
