Militaire eenheid,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01
7th Separate Motorized Rifle Brigade (LPR),,"49.0312679, 38.4494131","49.0312679, 38.4494131","49.0312679, 38.4494131","49.0312679, 38.4494131",,,
7th Separate Motorized Rifle Brigade (LPR),,"48.3480203, 38.3703711","48.3480203, 38.3703711","48.3480203, 38.3703711","48.3480203, 38.3703711",,,
70th Motorized Rifle Regiment,,"47.7540715, 36.9618018","47.7540715, 36.9618018","47.7540715, 36.9618018","47.7540715, 36.9618018",,,
70-ий мотострілецький полк Московії,"47.6995761, 36.8272153",,,,,,,
71st Guards Motorized Rifle Regiment,,,,,,"47.7651495, 36.8512508","47.7651495, 36.8512508","47.7651495, 36.8512508"
71-й мотострілецький полк,"47.4814947, 36.2745332",,,,,,,
71st Motorized Rifle Regiment,,"47.4842787, 36.2388276","47.4842787, 36.2388276","47.4842787, 36.2388276","47.4842787, 36.2388276",,,
74-а окрема гвардійська мотострілецька бригада,"49.0172472, 37.9379585",,,,,,,
74th Separate Guards Motorized Rifle Brigade,,"48.978052, 38.2030047","48.978052, 38.2030047","48.978052, 38.2030047","48.978052, 38.2030047",,,
752-й гвардійський мотострілецький полк,"49.240673, 37.427756",,,,,,,
752nd Guards Motorized Rifle Regiment,,"49.240673, 37.427756","49.240673, 37.427756","49.240673, 37.427756","49.240673, 37.427756",,,
76th Guards Air Assault Division,,"49.2708953, 37.1096187","49.2708953, 37.1096187","49.2708953, 37.1096187","49.2708953, 37.1096187",,,
810-а окрема морська піхотна бригада,"47.0612082, 37.31681",,,,,,,
810th Separate Marine Infantry Brigade,,"47.1565474, 36.2126873","47.1565474, 36.2126873","47.1565474, 36.2126873","47.1565474, 36.2126873",,,
82-й окремий гвардійський мотострілковий батальйон,"46.9603623, 29.5080192",,,,,,,
82nd Detached Guards Motorized Rifle Battalion,,"46.9603623, 29.5080192","46.9603623, 29.5080192","46.9603623, 29.5080192","46.9603623, 29.5080192","46.9603623, 29.5080192","46.9603623, 29.5080192","46.9603623, 29.5080192"
90th Guards Tank Division,,"49.1173501, 38.1786065","49.1173501, 38.1786065","49.1173501, 38.1786065","49.1173501, 38.1786065",,,
Kuban Regiment,,,,,,"48.9844527, 37.8364725",,
PMC Wagner,,,,,,"48.7036517, 38.3338749","48.7036517, 38.3338749","48.7036517, 38.3338749"
