Militaire eenheid,2024-01-01,2024-02-01,2024-03-01,2024-04-02,2024-05-02,2024-06-01,2024-07-01,2024-08-01,2024-09-01
242th Guards Motorized Rifle Regiment,,,,"47.9191115, 37.4834245","47.9191115, 37.4834245","47.9191115, 37.4834245","47.9191115, 37.4834245","47.9191115, 37.4834245","47.9191115, 37.4834245"
245th Guards Motor Rifle Regiment,,,,"50.1370322, 38.1078486","50.1370322, 38.1078486","50.2408018, 38.1051163","50.2408018, 38.1051163","50.2408018, 38.1051163","50.2408018, 38.1051163"
25th Separate Guards Motor Rifle Brigade,,,,"49.7890211, 37.7414998","49.7890211, 37.7414998","49.7890211, 37.7414998","49.7890211, 37.7414998","50.3294752, 36.8942065","50.3294752, 36.8942065"
252nd motorized rifle regiment,,,,"49.3147077, 37.9966034","49.3147077, 37.9966034","49.3147077, 37.9966034","49.3147077, 37.9966034","49.3147077, 37.9966034","49.3147077, 37.9966034"
254nd Motor Rifle Regiment,,,,"49.0621245, 38.0127176","49.0621245, 38.0127176","49.0621245, 38.0127176","49.0576251, 38.0607826","49.2161988, 38.0601041","49.2161988, 38.0601041"
255th Guards Motorized Rifle Regiment,,,,"47.927509, 37.4776931","47.9332599, 37.4667068","47.9332599, 37.4667068","47.9332599, 37.4667068","47.9332599, 37.4667068","47.9332599, 37.4667068"
26-th motorized rifle regiment,,,,"46.7027735, 33.0666745","46.7027735, 33.0666745","46.7027735, 33.0666745","46.7027735, 33.0666745","46.7027735, 33.0666745","46.7027735, 33.0666745"
26th Tank Regiment from the 47th TD,,,,"49.0064593, 38.1771868","49.6499834, 37.9375705","49.6499834, 37.9375705","49.6499834, 37.9375705","50.380672, 36.888271","50.380672, 36.888271"
27th Separate Guards Motor Rifle Brigade,,,,"49.508538, 37.989845","49.508538, 37.989845","49.508538, 37.989845",,"49.508538, 37.989845","49.508538, 37.989845"
272nd Motor Rifle Regiment,,,,"48.9920297, 38.1549328","49.6444946, 37.9161299","49.6444946, 37.9161299","49.6444946, 37.9161299","49.6444946, 37.9161299","49.6444946, 37.9161299"
277th Rifle Battalion,,,,"48.2094374, 37.7070278","48.2094374, 37.7070278","48.2094374, 37.7070278","48.2094374, 37.7070278","48.2094374, 37.7070278","48.2094374, 37.7070278"
28-th motorized rifle regiment,,,,"46.7086373, 33.1036954","46.7086373, 33.1036954","46.7086373, 33.1036954","46.7086373, 33.1036954","46.7086373, 33.1036954","46.7086373, 33.1036954"
283rd motorizedrifle regiment (from the composition of 144 MRD),,,,"49.114065, 38.0940752","49.114065, 38.0940752","49.114065, 38.0940752","49.114065, 38.0940752","49.114065, 38.0940752","49.114065, 38.0940752"
291st Guards Motorized Rifle Regiment,,,,"47.2414172, 35.7427597","47.2414172, 35.7427597","47.2414172, 35.7427597","47.2414172, 35.7427597","47.2414172, 35.7427597","47.2414172, 35.7427597"
299th Airborne Regiment from the 98th Airborne Division,,,,"48.633608, 37.9271623","48.6272543, 37.9192657","48.6272543, 37.9192657","48.6272543, 37.9192657","48.6272543, 37.9192657","48.6272543, 37.9192657"
3rd Motorized Rifle Battalion from the 114th Infantry Brigade,,,,"47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343","47.997272, 37.550343"
The 3rd motorized rifle battalion from the 123rd SMRB,,,,"48.733171, 38.213888","48.733171, 38.213888","48.733171, 38.213888","48.733171, 38.213888","48.733171, 38.213888","48.733171, 38.213888"
3rd Motor Rifle Division,,,,"49.2186751, 38.1361997","49.2186751, 38.1361997","49.2186751, 38.1361997","49.2186751, 38.1361997","49.2186751, 38.1361997","49.2186751, 38.1361997"
30th Engineer Regiment,,,,"49.7575245, 37.915206","49.7575245, 37.915206","49.7575245, 37.915206","49.7575245, 37.915206","49.7575245, 37.915206","49.7575245, 37.915206"
30th separate motorized rifle brigade,,,,"48.1723108, 37.7017713","48.2462118, 37.6039213","48.2482694, 37.6085562","48.2482694, 37.6085562","48.2737539, 37.5036724","48.2737539, 37.5036724"
31st Motor Rifle Regiment,,,,"49.0777905, 38.0099969","49.0777905, 38.0099969","49.0777905, 38.0099969","49.0802641, 38.033343","49.0802641, 38.033343","49.0802641, 38.033343"
31st Guards Air Assault Brigade,,,,"54.4460946, 48.2390137","54.4460946, 48.2390137","54.4460946, 48.2390137","54.4460946, 48.2390137","54.4460946, 48.2390137","54.4460946, 48.2390137"
328th Airborne Assault Regiment,"46.58062, 33.0826246","46.58062, 33.0826246","46.6730463, 33.0386734","46.6730463, 33.0386734","46.6730463, 33.0386734","46.6730463, 33.0386734","46.6730463, 33.0386734","46.6730463, 33.0386734","46.6730463, 33.0386734"
33rd Guards Motorized Rifle Regiment,,,,"47.8655806, 37.5464399","47.8655806, 37.5464399","47.8655806, 37.5464399","47.8655806, 37.5464399","47.8655806, 37.5464399","47.8655806, 37.5464399"
331st Airborne Regiment from the 98th Airborne Division,,,,"48.6266078, 37.920039","48.5826797, 37.9032169","48.5826797, 37.9032169","48.5826797, 37.9032169","48.5826797, 37.9032169","48.5826797, 37.9032169"
